naive_bayes_unigram_accuracy,naive_bayes_unigram_precision,naive_bayes_unigram_recall,naive_bayes_unigram_fscore,logistic_regression_unigram_accuracy,logistic_regression_unigram_precision,logistic_regression_unigram_recall,logistic_regression_unigram_fscore,random_forest_unigram_accuracy,random_forest_unigram_precision,random_forest_unigram_recall,random_forest_unigram_fscore,decision_tree_unigram_accuracy,decision_tree_unigram_precision,decision_tree_unigram_recall,decision_tree_unigram_fscore,naive_bayes_bigram_accuracy,naive_bayes_bigram_precision,naive_bayes_bigram_recall,naive_bayes_bigram_fscore,logistic_regression_bigram_accuracy,logistic_regression_bigram_precision,logistic_regression_bigram_recall,logistic_regression_bigram_fscore,random_forest_bigram_accuracy,random_forest_bigram_precision,random_forest_bigram_recall,random_forest_bigram_fscore,decision_tree_bigram_accuracy,decision_tree_bigram_precision,decision_tree_bigram_recall,decision_tree_bigram_fscore
0.85625,0.8275862068965517,0.9,0.8622754491017964,0.76875,0.7529411764705882,0.8,0.7757575757575759,0.81875,0.8,0.85,0.8242424242424243,0.6,0.6290322580645161,0.4875,0.5492957746478874,0.85625,0.8202247191011236,0.9125,0.863905325443787,0.8,0.75,0.9,0.8181818181818182,0.8,0.7307692307692307,0.95,0.8260869565217392,0.6625,0.6413043478260869,0.7375,0.686046511627907
0.85625,0.8275862068965517,0.9,0.8622754491017964,0.7625,0.723404255319149,0.85,0.7816091954022989,0.8125,0.7976190476190477,0.8375,0.8170731707317073,0.61875,0.5904761904761905,0.775,0.6702702702702703,0.85625,0.8202247191011236,0.9125,0.863905325443787,0.80625,0.7474747474747475,0.925,0.8268156424581006,0.8125,0.7551020408163265,0.925,0.8314606741573034,0.725,0.7045454545454546,0.775,0.7380952380952381
0.85625,0.8275862068965517,0.9,0.8622754491017964,0.8125,0.7717391304347826,0.8875,0.8255813953488372,0.825,0.7954545454545454,0.875,0.8333333333333334,0.60625,0.6491228070175439,0.4625,0.5401459854014599,0.85625,0.8202247191011236,0.9125,0.863905325443787,0.79375,0.7373737373737373,0.9125,0.8156424581005587,0.80625,0.7525773195876289,0.9125,0.8248587570621468,0.73125,0.7176470588235294,0.7625,0.7393939393939394
0.85625,0.8275862068965517,0.9,0.8622754491017964,0.79375,0.7582417582417582,0.8625,0.8070175438596491,0.81875,0.8072289156626506,0.8375,0.8220858895705521,0.65,0.6395348837209303,0.6875,0.6626506024096386,0.85625,0.8202247191011236,0.9125,0.863905325443787,0.8,0.7448979591836735,0.9125,0.8202247191011237,0.8,0.7352941176470589,0.9375,0.8241758241758242,0.6875,0.6875,0.6875,0.6875
0.85625,0.8275862068965517,0.9,0.8622754491017964,0.775,0.7391304347826086,0.85,0.7906976744186046,0.81875,0.8,0.85,0.8242424242424243,0.5875,0.5897435897435898,0.575,0.5822784810126582,0.85625,0.8202247191011236,0.9125,0.863905325443787,0.79375,0.7373737373737373,0.9125,0.8156424581005587,0.7875,0.7346938775510204,0.9,0.8089887640449438,0.70625,0.6853932584269663,0.7625,0.7218934911242604
0.85625,0.8275862068965517,0.9,0.8622754491017964,0.76875,0.7415730337078652,0.825,0.7810650887573964,0.81875,0.7931034482758621,0.8625,0.8263473053892216,0.6,0.5754716981132075,0.7625,0.6559139784946236,0.85625,0.8202247191011236,0.9125,0.863905325443787,0.8125,0.75,0.9375,0.8333333333333334,0.7875,0.73,0.9125,0.811111111111111,0.69375,0.6631578947368421,0.7875,0.72
0.85625,0.8275862068965517,0.9,0.8622754491017964,0.78125,0.7419354838709677,0.8625,0.7976878612716763,0.84375,0.8235294117647058,0.875,0.8484848484848485,0.6625,0.6413043478260869,0.7375,0.686046511627907,0.85625,0.8202247191011236,0.9125,0.863905325443787,0.8125,0.7551020408163265,0.925,0.8314606741573034,0.81875,0.7575757575757576,0.9375,0.8379888268156425,0.71875,0.7108433734939759,0.7375,0.7239263803680982
0.85625,0.8275862068965517,0.9,0.8622754491017964,0.78125,0.7472527472527473,0.85,0.7953216374269005,0.8,0.7926829268292683,0.8125,0.8024691358024691,0.6375,0.7291666666666666,0.4375,0.546875,0.85625,0.8202247191011236,0.9125,0.863905325443787,0.78125,0.7319587628865979,0.8875,0.8022598870056498,0.8,0.7307692307692307,0.95,0.8260869565217392,0.725,0.7093023255813954,0.7625,0.7349397590361445
0.85625,0.8275862068965517,0.9,0.8622754491017964,0.76875,0.7415730337078652,0.825,0.7810650887573964,0.81875,0.7865168539325843,0.875,0.8284023668639053,0.6,0.6081081081081081,0.5625,0.5844155844155844,0.85625,0.8202247191011236,0.9125,0.863905325443787,0.775,0.7244897959183674,0.8875,0.797752808988764,0.80625,0.7333333333333333,0.9625,0.8324324324324324,0.7,0.6739130434782609,0.775,0.7209302325581396
0.85625,0.8275862068965517,0.9,0.8622754491017964,0.78125,0.7472527472527473,0.85,0.7953216374269005,0.83125,0.8117647058823529,0.8625,0.8363636363636364,0.63125,0.7058823529411765,0.45,0.549618320610687,0.85625,0.8202247191011236,0.9125,0.863905325443787,0.80625,0.7474747474747475,0.925,0.8268156424581006,0.775,0.7156862745098039,0.9125,0.8021978021978022,0.7125,0.6888888888888889,0.775,0.7294117647058822
0.85625,0.8275862068965517,0.9,0.8622754491017964,0.775,0.7444444444444445,0.8375,0.788235294117647,0.78125,0.7848101265822784,0.775,0.7798742138364779,0.7,0.6904761904761905,0.725,0.7073170731707318,0.85625,0.8202247191011236,0.9125,0.863905325443787,0.80625,0.7474747474747475,0.925,0.8268156424581006,0.8125,0.7551020408163265,0.925,0.8314606741573034,0.73125,0.6907216494845361,0.8375,0.7570621468926554
0.85625,0.8275862068965517,0.9,0.8622754491017964,0.80625,0.7752808988764045,0.8625,0.8165680473372781,0.84375,0.8160919540229885,0.8875,0.8502994011976048,0.575,0.5612244897959183,0.6875,0.6179775280898877,0.85625,0.8202247191011236,0.9125,0.863905325443787,0.8,0.7448979591836735,0.9125,0.8202247191011237,0.78125,0.7102803738317757,0.95,0.8128342245989305,0.69375,0.6666666666666666,0.775,0.7167630057803468
0.85625,0.8275862068965517,0.9,0.8622754491017964,0.78125,0.7472527472527473,0.85,0.7953216374269005,0.83125,0.8045977011494253,0.875,0.8383233532934132,0.63125,0.7333333333333333,0.4125,0.5279999999999999,0.85625,0.8202247191011236,0.9125,0.863905325443787,0.79375,0.7473684210526316,0.8875,0.8114285714285715,0.825,0.776595744680851,0.9125,0.8390804597701149,0.6875,0.6666666666666666,0.75,0.7058823529411765
0.85625,0.8275862068965517,0.9,0.8622754491017964,0.75,0.7272727272727273,0.8,0.761904761904762,0.81875,0.7931034482758621,0.8625,0.8263473053892216,0.49375,0.49504950495049505,0.625,0.5524861878453039,0.85625,0.8202247191011236,0.9125,0.863905325443787,0.79375,0.7373737373737373,0.9125,0.8156424581005587,0.80625,0.7378640776699029,0.95,0.8306010928961749,0.725,0.7195121951219512,0.7375,0.7283950617283951
0.85625,0.8275862068965517,0.9,0.8622754491017964,0.7875,0.7446808510638298,0.875,0.8045977011494252,0.8125,0.7906976744186046,0.85,0.8192771084337349,0.53125,0.5213675213675214,0.7625,0.6192893401015228,0.85625,0.8202247191011236,0.9125,0.863905325443787,0.8125,0.75,0.9375,0.8333333333333334,0.8,0.7307692307692307,0.95,0.8260869565217392,0.75,0.7272727272727273,0.8,0.761904761904762
