,number,value,datetime_start,datetime_complete,duration,params_feat,params_rf_max_depth,params_rf_max_feat,state
71,71,0.8296875,2022-10-29 16:34:21.095087,2022-10-29 16:34:21.535196,0 days 00:00:00.440109,1231,100.0,90,COMPLETE
72,72,0.853125,2022-10-29 16:34:21.535736,2022-10-29 16:34:21.939055,0 days 00:00:00.403319,911,100.0,90,COMPLETE
73,73,0.8765625,2022-10-29 16:34:21.939502,2022-10-29 16:34:22.180201,0 days 00:00:00.240699,611,100.0,10,COMPLETE
74,74,0.7671875,2022-10-29 16:34:22.180650,2022-10-29 16:34:22.360565,0 days 00:00:00.179915,21,100.0,130,COMPLETE
75,75,0.8390625,2022-10-29 16:34:22.361492,2022-10-29 16:34:22.928301,0 days 00:00:00.566809,1871,100.0,50,COMPLETE
76,76,0.859375,2022-10-29 16:34:22.928835,2022-10-29 16:34:23.319425,0 days 00:00:00.390590,1391,100.0,30,COMPLETE
77,77,0.8265625,2022-10-29 16:34:23.319882,2022-10-29 16:34:23.870144,0 days 00:00:00.550262,1541,100.0,130,COMPLETE
78,78,0.8109375,2022-10-29 16:34:23.870576,2022-10-29 16:34:24.494351,0 days 00:00:00.623775,1411,100.0,210,COMPLETE
79,79,0.846875,2022-10-29 16:34:24.494854,2022-10-29 16:34:24.956828,0 days 00:00:00.461974,1351,100.0,90,COMPLETE
80,80,0.8484375,2022-10-29 16:34:24.957339,2022-10-29 16:34:25.298437,0 days 00:00:00.341098,891,100.0,50,COMPLETE
81,81,0.8421875,2022-10-29 16:34:25.298888,2022-10-29 16:34:25.552815,0 days 00:00:00.253927,631,10.0,10,COMPLETE
82,82,0.8625,2022-10-29 16:34:25.553261,2022-10-29 16:34:25.884379,0 days 00:00:00.331118,1121,70.0,30,COMPLETE
83,83,0.85625,2022-10-29 16:34:25.884841,2022-10-29 16:34:26.198038,0 days 00:00:00.313197,1131,70.0,30,COMPLETE
84,84,0.8609375,2022-10-29 16:34:26.198458,2022-10-29 16:34:26.573046,0 days 00:00:00.374588,1241,70.0,30,COMPLETE
85,85,0.80625,2022-10-29 16:34:26.573626,2022-10-29 16:34:28.382642,0 days 00:00:01.809016,1791,70.0,990,COMPLETE
86,86,0.8453125,2022-10-29 16:34:28.383147,2022-10-29 16:34:28.872297,0 days 00:00:00.489150,2111,70.0,30,COMPLETE
87,87,0.8625,2022-10-29 16:34:28.872742,2022-10-29 16:34:29.259245,0 days 00:00:00.386503,1231,70.0,70,COMPLETE
88,88,0.8453125,2022-10-29 16:34:29.259704,2022-10-29 16:34:29.699977,0 days 00:00:00.440273,1551,70.0,70,COMPLETE
89,89,0.8421875,2022-10-29 16:34:29.700403,2022-10-29 16:34:30.215415,0 days 00:00:00.515012,1291,70.0,170,COMPLETE
90,90,0.8234375,2022-10-29 16:34:30.215843,2022-10-29 16:34:30.763598,0 days 00:00:00.547755,2011,70.0,50,COMPLETE
91,91,0.8421875,2022-10-29 16:34:30.764045,2022-10-29 16:34:31.098895,0 days 00:00:00.334850,1071,70.0,30,COMPLETE
92,92,0.8359375,2022-10-29 16:34:31.099463,2022-10-29 16:34:31.557955,0 days 00:00:00.458492,1461,90.0,70,COMPLETE
93,93,0.8546875,2022-10-29 16:34:31.558405,2022-10-29 16:34:31.864932,0 days 00:00:00.306527,1221,50.0,10,COMPLETE
94,94,0.8296875,2022-10-29 16:34:31.865455,2022-10-29 16:34:32.420670,0 days 00:00:00.555215,1651,70.0,110,COMPLETE
95,95,0.8515625,2022-10-29 16:34:32.421175,2022-10-29 16:34:32.731992,0 days 00:00:00.310817,801,80.0,50,COMPLETE
96,96,0.846875,2022-10-29 16:34:32.732457,2022-10-29 16:34:32.982903,0 days 00:00:00.250446,991,20.0,10,COMPLETE
97,97,0.83125,2022-10-29 16:34:32.983343,2022-10-29 16:34:33.493139,0 days 00:00:00.509796,1331,40.0,130,COMPLETE
98,98,0.8296875,2022-10-29 16:34:33.493696,2022-10-29 16:34:33.848485,0 days 00:00:00.354789,421,30.0,90,COMPLETE
99,99,0.859375,2022-10-29 16:34:33.848925,2022-10-29 16:34:34.133089,0 days 00:00:00.284164,731,70.0,30,COMPLETE
100,100,0.840625,2022-10-29 16:34:34.133538,2022-10-29 16:34:34.531387,0 days 00:00:00.397849,1131,80.0,70,COMPLETE
101,101,0.8484375,2022-10-29 16:34:34.531829,2022-10-29 16:34:34.815588,0 days 00:00:00.283759,791,70.0,30,COMPLETE
102,102,0.8546875,2022-10-29 16:34:34.816163,2022-10-29 16:34:35.086338,0 days 00:00:00.270175,721,70.0,30,COMPLETE
103,103,0.8421875,2022-10-29 16:34:35.086780,2022-10-29 16:34:35.456943,0 days 00:00:00.370163,951,70.0,50,COMPLETE
104,104,0.8609375,2022-10-29 16:34:35.457484,2022-10-29 16:34:35.770651,0 days 00:00:00.313167,851,70.0,10,COMPLETE
