,number,value,datetime_start,datetime_complete,duration,params_feat,params_rf_max_depth,params_rf_max_feat,state
71,71,0.7015625,2022-10-29 16:43:43.620528,2022-10-29 16:43:43.796195,0 days 00:00:00.175667,511,30.0,410,COMPLETE
72,72,0.7375,2022-10-29 16:43:43.796655,2022-10-29 16:43:43.995278,0 days 00:00:00.198623,721,30.0,430,COMPLETE
73,73,0.7421875,2022-10-29 16:43:43.995689,2022-10-29 16:43:44.203403,0 days 00:00:00.207714,721,30.0,270,COMPLETE
74,74,0.7296875,2022-10-29 16:43:44.203879,2022-10-29 16:43:44.403995,0 days 00:00:00.200116,701,30.0,270,COMPLETE
75,75,0.6859375000000001,2022-10-29 16:43:44.404421,2022-10-29 16:43:44.612058,0 days 00:00:00.207637,731,30.0,170,COMPLETE
76,76,0.6828125,2022-10-29 16:43:44.612772,2022-10-29 16:43:45.049850,0 days 00:00:00.437078,1711,30.0,270,COMPLETE
77,77,0.71875,2022-10-29 16:43:45.050294,2022-10-29 16:43:45.295138,0 days 00:00:00.244844,841,30.0,230,COMPLETE
78,78,0.6968749999999999,2022-10-29 16:43:45.295561,2022-10-29 16:43:45.487658,0 days 00:00:00.192097,671,30.0,350,COMPLETE
79,79,0.7109375,2022-10-29 16:43:45.488081,2022-10-29 16:43:45.813910,0 days 00:00:00.325829,961,30.0,450,COMPLETE
80,80,0.703125,2022-10-29 16:43:45.814364,2022-10-29 16:43:45.884753,0 days 00:00:00.070389,131,30.0,290,COMPLETE
81,81,0.7265625,2022-10-29 16:43:45.885286,2022-10-29 16:43:46.077284,0 days 00:00:00.191998,391,60.0,310,COMPLETE
82,82,0.659375,2022-10-29 16:43:46.077743,2022-10-29 16:43:46.403552,0 days 00:00:00.325809,1201,30.0,50,COMPLETE
83,83,0.74375,2022-10-29 16:43:46.403969,2022-10-29 16:43:46.594362,0 days 00:00:00.190393,701,60.0,370,COMPLETE
84,84,0.7078125,2022-10-29 16:43:46.594787,2022-10-29 16:43:46.719645,0 days 00:00:00.124858,321,60.0,370,COMPLETE
85,85,0.7296875,2022-10-29 16:43:46.720088,2022-10-29 16:43:46.907759,0 days 00:00:00.187671,701,60.0,310,COMPLETE
86,86,0.634375,2022-10-29 16:43:46.908184,2022-10-29 16:43:47.895118,0 days 00:00:00.986934,3951,60.0,250,COMPLETE
