,number,value,datetime_start,datetime_complete,duration,params_C,params_feat,state
150,150,0.8359375,2022-10-29 16:09:35.441151,2022-10-29 16:09:35.733731,0 days 00:00:00.292580,3951,1061,COMPLETE
151,151,0.8375,2022-10-29 16:09:35.734225,2022-10-29 16:09:35.983100,0 days 00:00:00.248875,3751,811,COMPLETE
152,152,0.8359375,2022-10-29 16:09:35.983522,2022-10-29 16:09:36.198140,0 days 00:00:00.214618,4101,751,COMPLETE
153,153,0.8328125,2022-10-29 16:09:36.198602,2022-10-29 16:09:36.486664,0 days 00:00:00.288062,4001,901,COMPLETE
154,154,0.8359375000000001,2022-10-29 16:09:36.487217,2022-10-29 16:09:36.762291,0 days 00:00:00.275074,3871,961,COMPLETE
155,155,0.8343750000000001,2022-10-29 16:09:36.762994,2022-10-29 16:09:37.002699,0 days 00:00:00.239705,4361,851,COMPLETE
156,156,0.8234374999999999,2022-10-29 16:09:37.003137,2022-10-29 16:09:37.313691,0 days 00:00:00.310554,4771,1151,COMPLETE
157,157,0.834375,2022-10-29 16:09:37.314198,2022-10-29 16:09:37.546168,0 days 00:00:00.231970,3621,791,COMPLETE
158,158,0.8437500000000001,2022-10-29 16:09:37.546605,2022-10-29 16:09:37.864878,0 days 00:00:00.318273,4651,891,COMPLETE
159,159,0.83125,2022-10-29 16:09:37.865301,2022-10-29 16:09:38.068434,0 days 00:00:00.203133,4671,701,COMPLETE
160,160,0.8390625,2022-10-29 16:09:38.069069,2022-10-29 16:09:38.321576,0 days 00:00:00.252507,4921,941,COMPLETE
161,161,0.8296875,2022-10-29 16:09:38.322009,2022-10-29 16:09:38.561302,0 days 00:00:00.239293,4551,891,COMPLETE
162,162,0.8328125,2022-10-29 16:09:38.561839,2022-10-29 16:09:38.785436,0 days 00:00:00.223597,4211,831,COMPLETE
163,163,0.8234375,2022-10-29 16:09:38.785897,2022-10-29 16:09:39.011053,0 days 00:00:00.225156,4091,771,COMPLETE
164,164,0.8453125,2022-10-29 16:09:39.011465,2022-10-29 16:09:39.263586,0 days 00:00:00.252121,3751,911,COMPLETE
165,165,0.8343750000000001,2022-10-29 16:09:39.264129,2022-10-29 16:09:39.533640,0 days 00:00:00.269511,3501,1001,COMPLETE
166,166,0.834375,2022-10-29 16:09:39.534069,2022-10-29 16:09:39.869560,0 days 00:00:00.335491,3751,931,COMPLETE
167,167,0.8328125,2022-10-29 16:09:39.870019,2022-10-29 16:09:40.123527,0 days 00:00:00.253508,3951,881,COMPLETE
168,168,0.83125,2022-10-29 16:09:40.124127,2022-10-29 16:09:40.372671,0 days 00:00:00.248544,4661,851,COMPLETE
169,169,0.83125,2022-10-29 16:09:40.373358,2022-10-29 16:09:40.600012,0 days 00:00:00.226654,3841,671,COMPLETE
170,170,0.825,2022-10-29 16:09:40.600442,2022-10-29 16:09:40.861402,0 days 00:00:00.260960,1791,981,COMPLETE
171,171,0.8406250000000001,2022-10-29 16:09:40.861843,2022-10-29 16:09:41.114730,0 days 00:00:00.252887,3691,911,COMPLETE
172,172,0.83125,2022-10-29 16:09:41.115155,2022-10-29 16:09:41.360452,0 days 00:00:00.245297,4031,891,COMPLETE
173,173,0.8374999999999999,2022-10-29 16:09:41.360871,2022-10-29 16:09:41.585776,0 days 00:00:00.224905,3911,801,COMPLETE
174,174,0.8515625,2022-10-29 16:09:41.586247,2022-10-29 16:09:42.020124,0 days 00:00:00.433877,3771,1101,COMPLETE
175,175,0.8265625000000001,2022-10-29 16:09:42.020568,2022-10-29 16:09:42.381900,0 days 00:00:00.361332,3751,1101,COMPLETE
176,176,0.8374999999999999,2022-10-29 16:09:42.382431,2022-10-29 16:09:42.668858,0 days 00:00:00.286427,3601,1021,COMPLETE
177,177,0.834375,2022-10-29 16:09:42.669314,2022-10-29 16:09:42.891308,0 days 00:00:00.221994,3401,741,COMPLETE
178,178,0.8078125,2022-10-29 16:09:42.891754,2022-10-29 16:09:43.244550,0 days 00:00:00.352796,141,1261,COMPLETE
179,179,0.8265625,2022-10-29 16:09:43.245021,2022-10-29 16:09:43.598975,0 days 00:00:00.353954,3831,1321,COMPLETE
180,180,0.8218749999999999,2022-10-29 16:09:43.599416,2022-10-29 16:09:43.904791,0 days 00:00:00.305375,4461,821,COMPLETE
181,181,0.8296874999999999,2022-10-29 16:09:43.905351,2022-10-29 16:09:44.242836,0 days 00:00:00.337485,3931,1191,COMPLETE
182,182,0.8453125000000001,2022-10-29 16:09:44.243262,2022-10-29 16:09:44.490509,0 days 00:00:00.247247,4101,851,COMPLETE
183,183,0.8421875000000001,2022-10-29 16:09:44.490961,2022-10-29 16:09:44.772874,0 days 00:00:00.281913,4201,851,COMPLETE
184,184,0.8375,2022-10-29 16:09:44.773344,2022-10-29 16:09:45.007741,0 days 00:00:00.234397,4301,851,COMPLETE
185,185,0.8343750000000001,2022-10-29 16:09:45.008188,2022-10-29 16:09:45.204304,0 days 00:00:00.196116,4141,751,COMPLETE
186,186,0.828125,2022-10-29 16:09:45.204749,2022-10-29 16:09:45.513835,0 days 00:00:00.309086,4221,961,COMPLETE
187,187,0.8328125000000001,2022-10-29 16:09:45.514285,2022-10-29 16:09:45.770438,0 days 00:00:00.256153,4391,861,COMPLETE
188,188,0.8390625,2022-10-29 16:09:45.770911,2022-10-29 16:09:46.091676,0 days 00:00:00.320765,3071,811,COMPLETE
189,189,0.8468749999999999,2022-10-29 16:09:46.092166,2022-10-29 16:09:46.386212,0 days 00:00:00.294046,4031,881,COMPLETE
190,190,0.8390625,2022-10-29 16:09:46.386769,2022-10-29 16:09:46.700351,0 days 00:00:00.313582,4031,921,COMPLETE
191,191,0.8046875,2022-10-29 16:09:46.700784,2022-10-29 16:09:47.254779,0 days 00:00:00.553995,3791,1761,COMPLETE
192,192,0.8374999999999999,2022-10-29 16:09:47.255288,2022-10-29 16:09:47.495804,0 days 00:00:00.240516,4021,871,COMPLETE
193,193,0.8421875,2022-10-29 16:09:47.496250,2022-10-29 16:09:47.745805,0 days 00:00:00.249555,4181,821,COMPLETE
194,194,0.8171875000000001,2022-10-29 16:09:47.746306,2022-10-29 16:09:48.010244,0 days 00:00:00.263938,3881,781,COMPLETE
195,195,0.8328125000000001,2022-10-29 16:09:48.010688,2022-10-29 16:09:48.248726,0 days 00:00:00.238038,2661,881,COMPLETE
196,196,0.8234375,2022-10-29 16:09:48.249200,2022-10-29 16:09:48.452248,0 days 00:00:00.203048,4301,731,COMPLETE
197,197,0.8265625000000001,2022-10-29 16:09:48.452681,2022-10-29 16:09:48.736600,0 days 00:00:00.283919,4131,951,COMPLETE
198,198,0.8359375,2022-10-29 16:09:48.737034,2022-10-29 16:09:48.966789,0 days 00:00:00.229755,3681,841,COMPLETE
199,199,0.8359375,2022-10-29 16:09:48.967411,2022-10-29 16:09:49.236573,0 days 00:00:00.269162,4791,1061,COMPLETE
