,number,value,datetime_start,datetime_complete,duration,params_C,params_feat,state
81,81,0.8703124999999999,2022-10-29 16:11:27.676679,2022-10-29 16:11:28.089490,0 days 00:00:00.412811,4641,1631,COMPLETE
82,82,0.8515625,2022-10-29 16:11:28.089893,2022-10-29 16:11:28.660198,0 days 00:00:00.570305,4641,2111,COMPLETE
83,83,0.878125,2022-10-29 16:11:28.660591,2022-10-29 16:11:29.073071,0 days 00:00:00.412480,4871,1641,COMPLETE
84,84,0.8656250000000001,2022-10-29 16:11:29.073559,2022-10-29 16:11:29.421741,0 days 00:00:00.348182,4551,1351,COMPLETE
85,85,0.8656249999999999,2022-10-29 16:11:29.422129,2022-10-29 16:11:29.904546,0 days 00:00:00.482417,4701,1931,COMPLETE
86,86,0.8703124999999999,2022-10-29 16:11:29.904966,2022-10-29 16:11:30.341036,0 days 00:00:00.436070,4341,1721,COMPLETE
87,87,0.8781249999999999,2022-10-29 16:11:30.341423,2022-10-29 16:11:30.714103,0 days 00:00:00.372680,4131,1431,COMPLETE
88,88,0.859375,2022-10-29 16:11:30.714540,2022-10-29 16:11:31.014153,0 days 00:00:00.299613,4511,1201,COMPLETE
89,89,0.8999999999999999,2022-10-29 16:11:31.014602,2022-10-29 16:11:31.477449,0 days 00:00:00.462847,4881,1591,COMPLETE
90,90,0.875,2022-10-29 16:11:31.477892,2022-10-29 16:11:32.045878,0 days 00:00:00.567986,4871,2291,COMPLETE
91,91,0.8921875,2022-10-29 16:11:32.046323,2022-10-29 16:11:32.453171,0 days 00:00:00.406848,4711,1541,COMPLETE
92,92,0.871875,2022-10-29 16:11:32.453603,2022-10-29 16:11:32.836125,0 days 00:00:00.382522,4721,1511,COMPLETE
93,93,0.8765625,2022-10-29 16:11:32.836515,2022-10-29 16:11:33.329832,0 days 00:00:00.493317,4901,2031,COMPLETE
94,94,0.8609375,2022-10-29 16:11:33.330245,2022-10-29 16:11:33.789470,0 days 00:00:00.459225,4701,1801,COMPLETE
95,95,0.878125,2022-10-29 16:11:33.789950,2022-10-29 16:11:34.252207,0 days 00:00:00.462257,4411,1701,COMPLETE
96,96,0.86875,2022-10-29 16:11:34.252612,2022-10-29 16:11:34.592323,0 days 00:00:00.339711,2701,1341,COMPLETE
97,97,0.8890625,2022-10-29 16:11:34.592747,2022-10-29 16:11:34.977523,0 days 00:00:00.384776,4241,1541,COMPLETE
98,98,0.8046875,2022-10-29 16:11:34.978004,2022-10-29 16:11:36.011550,0 days 00:00:01.033546,4191,3991,COMPLETE
99,99,0.8875,2022-10-29 16:11:36.011982,2022-10-29 16:11:36.465401,0 days 00:00:00.453419,3751,1561,COMPLETE
100,100,0.878125,2022-10-29 16:11:36.465804,2022-10-29 16:11:36.967998,0 days 00:00:00.502194,3171,1431,COMPLETE
101,101,0.8609374999999999,2022-10-29 16:11:36.968437,2022-10-29 16:11:37.462619,0 days 00:00:00.494182,4771,1851,COMPLETE
102,102,0.8718750000000001,2022-10-29 16:11:37.463074,2022-10-29 16:11:37.761289,0 days 00:00:00.298215,4291,1091,COMPLETE
