,features,avg_accuracy
151,1515,0.946875
152,1525,0.9453125
153,1535,0.946875
154,1545,0.9453125
155,1555,0.9453125
156,1565,0.9421875000000001
157,1575,0.94375
158,1585,0.94375
159,1595,0.94375
160,1605,0.94375
161,1615,0.9453125
162,1625,0.9437500000000001
163,1635,0.9421875
164,1645,0.9406249999999999
165,1655,0.9421875000000001
166,1665,0.9437500000000001
167,1675,0.9437500000000001
168,1685,0.9437500000000001
169,1695,0.9437500000000001
170,1705,0.9437500000000001
171,1715,0.9437500000000001
172,1725,0.9437500000000001
173,1735,0.9421875
174,1745,0.94375
175,1755,0.9421875
176,1765,0.94375
177,1775,0.940625
178,1785,0.9421875
179,1795,0.9453125000000001
180,1805,0.9453125000000001
181,1815,0.946875
182,1825,0.9437500000000001
183,1835,0.9453125
184,1845,0.9453125
185,1855,0.9453125
186,1865,0.9453125
187,1875,0.9453125
188,1885,0.9453125
189,1895,0.9453125
190,1905,0.9453125
191,1915,0.9453125
192,1925,0.9453125
193,1935,0.9453125
194,1945,0.9453125
195,1955,0.9453125
196,1965,0.9453125
197,1975,0.9437500000000001
198,1985,0.9437500000000001
199,1995,0.946875
200,2005,0.9437500000000001
201,2015,0.9453125
202,2025,0.9437500000000001
203,2035,0.9437500000000001
204,2045,0.9406249999999999
205,2055,0.9406249999999999
206,2065,0.9406249999999999
207,2075,0.9375
208,2085,0.9421875
209,2095,0.9421875000000001
210,2105,0.9421875
211,2115,0.9421875
212,2125,0.9421875
213,2135,0.9421875
214,2145,0.940625
215,2155,0.940625
216,2165,0.940625
217,2175,0.9421875
218,2185,0.9421875
219,2195,0.9437500000000001
220,2205,0.9437500000000001
221,2215,0.9437500000000001
222,2225,0.9453125000000001
223,2235,0.94375
224,2245,0.94375
225,2255,0.94375
226,2265,0.94375
227,2275,0.94375
228,2285,0.9421875000000001
229,2295,0.9421875000000001
230,2305,0.940625
231,2315,0.940625
232,2325,0.940625
233,2335,0.940625
234,2345,0.9390625
235,2355,0.9390625
236,2365,0.9359375
237,2375,0.9359375
238,2385,0.9375
239,2395,0.934375
240,2405,0.934375
241,2415,0.9359375
242,2425,0.934375
243,2435,0.9328124999999999
244,2445,0.9328124999999999
245,2455,0.928125
246,2465,0.928125
247,2475,0.9296875
248,2485,0.9296875
249,2495,0.9296875
250,2505,0.9296875
