,number,value,datetime_start,datetime_complete,duration,params_feat,params_rf_max_depth,params_rf_max_feat,state
68,68,0.828125,2022-10-29 16:40:07.099594,2022-10-29 16:40:07.409017,0 days 00:00:00.309423,871,100.0,50,COMPLETE
69,69,0.765625,2022-10-29 16:40:07.409473,2022-10-29 16:40:08.746081,0 days 00:00:01.336608,781,60.0,810,COMPLETE
70,70,0.8109375,2022-10-29 16:40:08.746489,2022-10-29 16:40:09.210930,0 days 00:00:00.464441,1031,100.0,170,COMPLETE
71,71,0.8140625,2022-10-29 16:40:09.211400,2022-10-29 16:40:09.567306,0 days 00:00:00.355906,931,100.0,90,COMPLETE
72,72,0.7640625,2022-10-29 16:40:09.567908,2022-10-29 16:40:09.756448,0 days 00:00:00.188540,51,70.0,30,COMPLETE
73,73,0.821875,2022-10-29 16:40:09.756898,2022-10-29 16:40:10.010275,0 days 00:00:00.253377,651,20.0,50,COMPLETE
74,74,0.80625,2022-10-29 16:40:10.010719,2022-10-29 16:40:10.331733,0 days 00:00:00.321014,1111,10.0,90,COMPLETE
75,75,0.8046875,2022-10-29 16:40:10.332145,2022-10-29 16:40:10.723881,0 days 00:00:00.391736,811,80.0,130,COMPLETE
76,76,0.8328125,2022-10-29 16:40:10.724350,2022-10-29 16:40:10.953842,0 days 00:00:00.229492,541,40.0,30,COMPLETE
77,77,0.790625,2022-10-29 16:40:10.954251,2022-10-29 16:40:11.933872,0 days 00:00:00.979621,541,40.0,510,COMPLETE
78,78,0.79375,2022-10-29 16:40:11.934368,2022-10-29 16:40:12.484850,0 days 00:00:00.550482,701,40.0,210,COMPLETE
79,79,0.8140625,2022-10-29 16:40:12.485277,2022-10-29 16:40:12.787783,0 days 00:00:00.302506,751,40.0,30,COMPLETE
80,80,0.7828125,2022-10-29 16:40:12.788224,2022-10-29 16:40:13.722948,0 days 00:00:00.934724,461,,570,COMPLETE
81,81,0.81875,2022-10-29 16:40:13.723493,2022-10-29 16:40:13.910429,0 days 00:00:00.186936,351,60.0,10,COMPLETE
82,82,0.8203125,2022-10-29 16:40:13.910889,2022-10-29 16:40:14.179136,0 days 00:00:00.268247,131,,70,COMPLETE
83,83,0.8171875,2022-10-29 16:40:14.179582,2022-10-29 16:40:14.471289,0 days 00:00:00.291707,981,100.0,30,COMPLETE
84,84,0.7734375,2022-10-29 16:40:14.471705,2022-10-29 16:40:15.819654,0 days 00:00:01.347949,1951,40.0,630,COMPLETE
85,85,0.8203125,2022-10-29 16:40:15.820091,2022-10-29 16:40:16.126087,0 days 00:00:00.305996,611,,90,COMPLETE
86,86,0.8390625,2022-10-29 16:40:16.126536,2022-10-29 16:40:16.366516,0 days 00:00:00.239980,851,90.0,10,COMPLETE
87,87,0.8078125,2022-10-29 16:40:16.366979,2022-10-29 16:40:16.768232,0 days 00:00:00.401253,891,90.0,130,COMPLETE
88,88,0.8234375,2022-10-29 16:40:16.768709,2022-10-29 16:40:17.060004,0 days 00:00:00.291295,831,90.0,50,COMPLETE
89,89,0.78125,2022-10-29 16:40:17.060471,2022-10-29 16:40:18.710619,0 days 00:00:01.650148,1171,90.0,990,COMPLETE
90,90,0.815625,2022-10-29 16:40:18.711090,2022-10-29 16:40:19.057107,0 days 00:00:00.346017,1041,60.0,70,COMPLETE
91,91,0.815625,2022-10-29 16:40:19.057577,2022-10-29 16:40:19.277728,0 days 00:00:00.220151,751,,10,COMPLETE
92,92,0.8265625,2022-10-29 16:40:19.278229,2022-10-29 16:40:19.493009,0 days 00:00:00.214780,431,30.0,30,COMPLETE
93,93,0.7984375,2022-10-29 16:40:19.493468,2022-10-29 16:40:19.815449,0 days 00:00:00.321981,281,50.0,110,COMPLETE
94,94,0.7671875,2022-10-29 16:40:19.815900,2022-10-29 16:40:20.002000,0 days 00:00:00.186100,31,70.0,30,COMPLETE
95,95,0.8390625,2022-10-29 16:40:20.002523,2022-10-29 16:40:20.197107,0 days 00:00:00.194584,501,90.0,10,COMPLETE
96,96,0.8234375,2022-10-29 16:40:20.197588,2022-10-29 16:40:20.494249,0 days 00:00:00.296661,671,90.0,70,COMPLETE
97,97,0.834375,2022-10-29 16:40:20.494700,2022-10-29 16:40:20.748258,0 days 00:00:00.253558,571,90.0,50,COMPLETE
98,98,0.8171875,2022-10-29 16:40:20.748713,2022-10-29 16:40:21.161335,0 days 00:00:00.412622,501,90.0,170,COMPLETE
99,99,0.8171875,2022-10-29 16:40:21.161790,2022-10-29 16:40:21.424451,0 days 00:00:00.262661,561,90.0,50,COMPLETE
100,100,0.8171875,2022-10-29 16:40:21.424946,2022-10-29 16:40:21.740351,0 days 00:00:00.315405,631,90.0,90,COMPLETE
