,number,value,datetime_start,datetime_complete,duration,params_feat,params_rf_max_depth,params_rf_max_feat,state
57,57,0.7,2022-10-29 16:53:34.006769,2022-10-29 16:53:34.113835,0 days 00:00:00.107066,331,30.0,770,COMPLETE
58,58,0.690625,2022-10-29 16:53:34.114328,2022-10-29 16:53:34.159649,0 days 00:00:00.045321,51,100.0,830,COMPLETE
59,59,0.7140625,2022-10-29 16:53:34.160111,2022-10-29 16:53:34.244774,0 days 00:00:00.084663,231,20.0,550,COMPLETE
60,60,0.678125,2022-10-29 16:53:34.245207,2022-10-29 16:53:34.411830,0 days 00:00:00.166623,551,40.0,870,COMPLETE
61,61,0.7281249999999999,2022-10-29 16:53:34.412262,2022-10-29 16:53:34.478225,0 days 00:00:00.065963,131,50.0,630,COMPLETE
62,62,0.6921875,2022-10-29 16:53:34.478749,2022-10-29 16:53:34.548038,0 days 00:00:00.069289,151,50.0,550,COMPLETE
63,63,0.70625,2022-10-29 16:53:34.548470,2022-10-29 16:53:34.596208,0 days 00:00:00.047738,61,50.0,590,COMPLETE
64,64,0.7203124999999999,2022-10-29 16:53:34.596628,2022-10-29 16:53:34.685853,0 days 00:00:00.089225,231,50.0,730,COMPLETE
65,65,0.70625,2022-10-29 16:53:34.686281,2022-10-29 16:53:34.818644,0 days 00:00:00.132363,401,,670,COMPLETE
66,66,0.7,2022-10-29 16:53:34.819059,2022-10-29 16:53:34.888461,0 days 00:00:00.069402,131,70.0,970,COMPLETE
67,67,0.6875,2022-10-29 16:53:34.888871,2022-10-29 16:53:34.988763,0 days 00:00:00.099892,281,20.0,490,COMPLETE
68,68,0.6875000000000001,2022-10-29 16:53:34.989183,2022-10-29 16:53:35.033101,0 days 00:00:00.043918,41,40.0,790,COMPLETE
69,69,0.6421874999999999,2022-10-29 16:53:35.033560,2022-10-29 16:53:35.358578,0 days 00:00:00.325018,1221,20.0,910,COMPLETE
70,70,0.7125,2022-10-29 16:53:35.359151,2022-10-29 16:53:35.439836,0 days 00:00:00.080685,191,50.0,830,COMPLETE
71,71,0.703125,2022-10-29 16:53:35.440255,2022-10-29 16:53:35.525887,0 days 00:00:00.085632,211,50.0,730,COMPLETE
72,72,0.6984375,2022-10-29 16:53:35.526297,2022-10-29 16:53:35.632616,0 days 00:00:00.106319,331,50.0,690,COMPLETE
73,73,0.70625,2022-10-29 16:53:35.633037,2022-10-29 16:53:35.665124,0 days 00:00:00.032087,1,50.0,630,COMPLETE
74,74,0.6828125,2022-10-29 16:53:35.665536,2022-10-29 16:53:35.729334,0 days 00:00:00.063798,121,10.0,750,COMPLETE
75,75,0.70625,2022-10-29 16:53:35.729751,2022-10-29 16:53:35.818422,0 days 00:00:00.088671,241,20.0,710,COMPLETE
76,76,0.7015625000000001,2022-10-29 16:53:35.818837,2022-10-29 16:53:35.950132,0 days 00:00:00.131295,401,80.0,790,COMPLETE
77,77,0.6984375,2022-10-29 16:53:35.950561,2022-10-29 16:53:36.113136,0 days 00:00:00.162575,151,100.0,570,COMPLETE
78,78,0.6343749999999999,2022-10-29 16:53:36.113873,2022-10-29 16:53:36.612656,0 days 00:00:00.498783,1591,20.0,510,COMPLETE
79,79,0.7171875000000001,2022-10-29 16:53:36.613166,2022-10-29 16:53:36.673865,0 days 00:00:00.060699,71,70.0,430,COMPLETE
80,80,0.696875,2022-10-29 16:53:36.674290,2022-10-29 16:53:36.788183,0 days 00:00:00.113893,301,90.0,930,COMPLETE
81,81,0.7203125,2022-10-29 16:53:36.788623,2022-10-29 16:53:36.849496,0 days 00:00:00.060873,111,60.0,630,COMPLETE
82,82,0.7140625,2022-10-29 16:53:36.849908,2022-10-29 16:53:36.934038,0 days 00:00:00.084130,211,40.0,630,COMPLETE
83,83,0.6984375,2022-10-29 16:53:36.934469,2022-10-29 16:53:36.981124,0 days 00:00:00.046655,61,,670,COMPLETE
84,84,0.703125,2022-10-29 16:53:36.981627,2022-10-29 16:53:37.045742,0 days 00:00:00.064115,121,30.0,590,COMPLETE
85,85,0.7000000000000001,2022-10-29 16:53:37.046209,2022-10-29 16:53:37.238114,0 days 00:00:00.191905,431,60.0,750,COMPLETE
86,86,0.659375,2022-10-29 16:53:37.239190,2022-10-29 16:53:38.217982,0 days 00:00:00.978792,1901,20.0,650,COMPLETE
87,87,0.7078125,2022-10-29 16:53:38.218765,2022-10-29 16:53:38.334918,0 days 00:00:00.116153,171,50.0,870,COMPLETE
88,88,0.7312500000000001,2022-10-29 16:53:38.335542,2022-10-29 16:53:38.430570,0 days 00:00:00.095028,231,20.0,70,COMPLETE
89,89,0.6937500000000001,2022-10-29 16:53:38.431003,2022-10-29 16:53:38.590890,0 days 00:00:00.159887,531,20.0,50,COMPLETE
90,90,0.7093750000000001,2022-10-29 16:53:38.591374,2022-10-29 16:53:38.633884,0 days 00:00:00.042510,31,20.0,90,COMPLETE
91,91,0.6640625000000001,2022-10-29 16:53:38.634291,2022-10-29 16:53:38.724029,0 days 00:00:00.089738,251,20.0,170,COMPLETE
92,92,0.7109375,2022-10-29 16:53:38.724455,2022-10-29 16:53:38.781065,0 days 00:00:00.056610,101,20.0,190,COMPLETE
93,93,0.6890625,2022-10-29 16:53:38.781476,2022-10-29 16:53:38.881720,0 days 00:00:00.100244,331,20.0,50,COMPLETE
94,94,0.70625,2022-10-29 16:53:38.882162,2022-10-29 16:53:38.955642,0 days 00:00:00.073480,161,60.0,230,COMPLETE
95,95,0.6875,2022-10-29 16:53:38.956078,2022-10-29 16:53:39.065135,0 days 00:00:00.109057,251,40.0,730,COMPLETE
96,96,0.7046874999999999,2022-10-29 16:53:39.065581,2022-10-29 16:53:39.137434,0 days 00:00:00.071853,91,50.0,110,COMPLETE
97,97,0.70625,2022-10-29 16:53:39.142438,2022-10-29 16:53:39.176446,0 days 00:00:00.034008,1,10.0,990,COMPLETE
98,98,0.7015625,2022-10-29 16:53:39.176860,2022-10-29 16:53:39.286768,0 days 00:00:00.109908,211,20.0,290,COMPLETE
99,99,0.7046874999999999,2022-10-29 16:53:39.287244,2022-10-29 16:53:39.425760,0 days 00:00:00.138516,311,80.0,810,COMPLETE
100,100,0.7015625,2022-10-29 16:53:39.426583,2022-10-29 16:53:39.630551,0 days 00:00:00.203968,151,20.0,690,COMPLETE
101,101,0.709375,2022-10-29 16:53:39.631177,2022-10-29 16:53:39.706765,0 days 00:00:00.075588,61,60.0,630,COMPLETE
102,102,0.7265625,2022-10-29 16:53:39.707269,2022-10-29 16:53:39.775776,0 days 00:00:00.068507,91,60.0,530,COMPLETE
103,103,0.703125,2022-10-29 16:53:39.776291,2022-10-29 16:53:39.833458,0 days 00:00:00.057167,101,60.0,570,COMPLETE
104,104,0.7093749999999999,2022-10-29 16:53:39.833885,2022-10-29 16:53:39.909956,0 days 00:00:00.076071,191,60.0,530,COMPLETE
105,105,0.6921875,2022-10-29 16:53:39.910405,2022-10-29 16:53:39.953386,0 days 00:00:00.042981,31,100.0,610,COMPLETE
106,106,0.7109375,2022-10-29 16:53:39.953806,2022-10-29 16:53:40.068522,0 days 00:00:00.114716,371,90.0,450,COMPLETE
107,107,0.6953125,2022-10-29 16:53:40.068956,2022-10-29 16:53:40.173331,0 days 00:00:00.104375,271,50.0,770,COMPLETE
108,108,0.721875,2022-10-29 16:53:40.173884,2022-10-29 16:53:40.243711,0 days 00:00:00.069827,121,20.0,850,COMPLETE
109,109,0.73125,2022-10-29 16:53:40.244190,2022-10-29 16:53:40.318899,0 days 00:00:00.074709,121,20.0,890,COMPLETE
110,110,0.7109375,2022-10-29 16:53:40.319338,2022-10-29 16:53:40.362262,0 days 00:00:00.042924,41,20.0,850,COMPLETE
111,111,0.7203124999999999,2022-10-29 16:53:40.362745,2022-10-29 16:53:40.420771,0 days 00:00:00.058026,121,20.0,910,COMPLETE
112,112,0.7031249999999999,2022-10-29 16:53:40.421188,2022-10-29 16:53:40.491703,0 days 00:00:00.070515,151,20.0,990,COMPLETE
113,113,0.70625,2022-10-29 16:53:40.492162,2022-10-29 16:53:40.524740,0 days 00:00:00.032578,1,20.0,890,COMPLETE
114,114,0.7078125,2022-10-29 16:53:40.525291,2022-10-29 16:53:40.579965,0 days 00:00:00.054674,101,20.0,930,COMPLETE
115,115,0.703125,2022-10-29 16:53:40.580398,2022-10-29 16:53:40.654472,0 days 00:00:00.074074,191,20.0,950,COMPLETE
116,116,0.70625,2022-10-29 16:53:40.654888,2022-10-29 16:53:40.703601,0 days 00:00:00.048713,71,40.0,850,COMPLETE
117,117,0.690625,2022-10-29 16:53:40.704005,2022-10-29 16:53:41.073276,0 days 00:00:00.369271,1181,30.0,890,COMPLETE
118,118,0.6859374999999999,2022-10-29 16:53:41.073747,2022-10-29 16:53:41.308144,0 days 00:00:00.234397,771,70.0,950,COMPLETE
119,119,0.70625,2022-10-29 16:53:41.308580,2022-10-29 16:53:41.392244,0 days 00:00:00.083664,221,20.0,830,COMPLETE
120,120,0.7,2022-10-29 16:53:41.392674,2022-10-29 16:53:41.465103,0 days 00:00:00.072429,141,,650,COMPLETE
121,121,0.73125,2022-10-29 16:53:41.465808,2022-10-29 16:53:41.528210,0 days 00:00:00.062402,111,20.0,910,COMPLETE
122,122,0.7234375000000001,2022-10-29 16:53:41.528639,2022-10-29 16:53:41.573010,0 days 00:00:00.044371,41,20.0,870,COMPLETE
123,123,0.73125,2022-10-29 16:53:41.573439,2022-10-29 16:53:41.627904,0 days 00:00:00.054465,101,20.0,910,COMPLETE
124,124,0.7109375,2022-10-29 16:53:41.628336,2022-10-29 16:53:41.667870,0 days 00:00:00.039534,31,20.0,350,COMPLETE
125,125,0.6984374999999999,2022-10-29 16:53:41.668278,2022-10-29 16:53:41.743547,0 days 00:00:00.075269,181,20.0,930,COMPLETE
126,126,0.6984375,2022-10-29 16:53:41.744003,2022-10-29 16:53:41.844982,0 days 00:00:00.100979,281,20.0,890,COMPLETE
127,127,0.7171875,2022-10-29 16:53:41.845425,2022-10-29 16:53:41.898296,0 days 00:00:00.052871,91,20.0,870,COMPLETE
128,128,0.70625,2022-10-29 16:53:41.898795,2022-10-29 16:53:41.963833,0 days 00:00:00.065038,141,20.0,910,COMPLETE
129,129,0.678125,2022-10-29 16:53:41.964271,2022-10-29 16:53:42.230904,0 days 00:00:00.266633,971,20.0,850,COMPLETE
130,130,0.6625000000000001,2022-10-29 16:53:42.231392,2022-10-29 16:53:43.417702,0 days 00:00:01.186310,1351,20.0,1010,COMPLETE
131,131,0.6921875000000001,2022-10-29 16:53:43.418185,2022-10-29 16:53:43.471084,0 days 00:00:00.052899,41,20.0,950,COMPLETE
132,132,0.7234375,2022-10-29 16:53:43.472211,2022-10-29 16:53:43.538156,0 days 00:00:00.065945,71,20.0,830,COMPLETE
133,133,0.7109375,2022-10-29 16:53:43.538654,2022-10-29 16:53:43.645146,0 days 00:00:00.106492,81,20.0,830,COMPLETE
134,134,0.6953125,2022-10-29 16:53:43.645605,2022-10-29 16:53:43.782866,0 days 00:00:00.137261,241,20.0,810,COMPLETE
135,135,0.70625,2022-10-29 16:53:43.783350,2022-10-29 16:53:43.827225,0 days 00:00:00.043875,1,20.0,910,COMPLETE
136,136,0.7,2022-10-29 16:53:43.828027,2022-10-29 16:53:43.935222,0 days 00:00:00.107195,181,40.0,870,COMPLETE
137,137,0.690625,2022-10-29 16:53:43.935734,2022-10-29 16:53:43.999987,0 days 00:00:00.064253,131,10.0,970,COMPLETE
138,138,0.728125,2022-10-29 16:53:44.000414,2022-10-29 16:53:44.054291,0 days 00:00:00.053877,71,20.0,990,COMPLETE
139,139,0.696875,2022-10-29 16:53:44.054730,2022-10-29 16:53:44.100717,0 days 00:00:00.045987,51,80.0,990,COMPLETE
140,140,0.7171875,2022-10-29 16:53:44.101140,2022-10-29 16:53:44.154725,0 days 00:00:00.053585,81,20.0,970,COMPLETE
141,141,0.7203125,2022-10-29 16:53:44.155222,2022-10-29 16:53:44.224313,0 days 00:00:00.069091,161,20.0,890,COMPLETE
142,142,0.70625,2022-10-29 16:53:44.224769,2022-10-29 16:53:44.258747,0 days 00:00:00.033978,1,20.0,930,COMPLETE
143,143,0.7406250000000001,2022-10-29 16:53:44.259177,2022-10-29 16:53:44.321459,0 days 00:00:00.062282,121,20.0,850,COMPLETE
144,144,0.7046875,2022-10-29 16:53:44.322005,2022-10-29 16:53:44.405874,0 days 00:00:00.083869,221,20.0,1010,COMPLETE
145,145,0.7046875,2022-10-29 16:53:44.406327,2022-10-29 16:53:44.457900,0 days 00:00:00.051573,81,20.0,390,COMPLETE
146,146,0.7250000000000001,2022-10-29 16:53:44.458423,2022-10-29 16:53:44.540948,0 days 00:00:00.082525,191,100.0,930,COMPLETE
147,147,0.703125,2022-10-29 16:53:44.541441,2022-10-29 16:53:44.654992,0 days 00:00:00.113551,311,100.0,950,COMPLETE
148,148,0.7125,2022-10-29 16:53:44.655577,2022-10-29 16:53:44.734276,0 days 00:00:00.078699,191,100.0,970,COMPLETE
149,149,0.696875,2022-10-29 16:53:44.734836,2022-10-29 16:53:44.829888,0 days 00:00:00.095052,281,100.0,930,COMPLETE
150,150,0.696875,2022-10-29 16:53:44.830427,2022-10-29 16:53:44.899259,0 days 00:00:00.068832,141,90.0,150,COMPLETE
151,151,0.6984374999999999,2022-10-29 16:53:44.899704,2022-10-29 16:53:44.944431,0 days 00:00:00.044727,41,100.0,870,COMPLETE
152,152,0.7375,2022-10-29 16:53:44.944937,2022-10-29 16:53:45.002505,0 days 00:00:00.057568,111,20.0,890,COMPLETE
153,153,0.7078125,2022-10-29 16:53:45.002942,2022-10-29 16:53:45.061878,0 days 00:00:00.058936,111,40.0,890,COMPLETE
154,154,0.6984374999999999,2022-10-29 16:53:45.062308,2022-10-29 16:53:45.149570,0 days 00:00:00.087262,221,20.0,910,COMPLETE
155,155,0.675,2022-10-29 16:53:45.150025,2022-10-29 16:53:45.339213,0 days 00:00:00.189188,671,30.0,510,COMPLETE
156,156,0.68125,2022-10-29 16:53:45.339665,2022-10-29 16:53:45.410063,0 days 00:00:00.070398,161,,950,COMPLETE
157,157,0.721875,2022-10-29 16:53:45.410693,2022-10-29 16:53:45.506973,0 days 00:00:00.096280,241,70.0,990,COMPLETE
158,158,0.7187499999999999,2022-10-29 16:53:45.507401,2022-10-29 16:53:45.573397,0 days 00:00:00.065996,121,20.0,910,COMPLETE
159,159,0.7000000000000001,2022-10-29 16:53:45.573834,2022-10-29 16:53:45.653472,0 days 00:00:00.079638,191,20.0,470,COMPLETE
160,160,0.6796875,2022-10-29 16:53:45.653937,2022-10-29 16:53:45.890929,0 days 00:00:00.236992,861,20.0,930,COMPLETE
161,161,0.7140624999999999,2022-10-29 16:53:45.891371,2022-10-29 16:53:45.939315,0 days 00:00:00.047944,51,20.0,850,COMPLETE
162,162,0.6671875,2022-10-29 16:53:45.939738,2022-10-29 16:53:45.996242,0 days 00:00:00.056504,81,20.0,30,COMPLETE
163,163,0.70625,2022-10-29 16:53:45.996704,2022-10-29 16:53:46.036743,0 days 00:00:00.040039,1,20.0,870,COMPLETE
164,164,0.7203124999999999,2022-10-29 16:53:46.037170,2022-10-29 16:53:46.092775,0 days 00:00:00.055605,101,20.0,810,COMPLETE
165,165,0.696875,2022-10-29 16:53:46.093210,2022-10-29 16:53:46.161336,0 days 00:00:00.068126,161,20.0,910,COMPLETE
166,166,0.7328125000000001,2022-10-29 16:53:46.161800,2022-10-29 16:53:46.206908,0 days 00:00:00.045108,51,20.0,890,COMPLETE
167,167,0.6875,2022-10-29 16:53:46.207375,2022-10-29 16:53:46.248384,0 days 00:00:00.041009,41,20.0,890,COMPLETE
168,168,0.709375,2022-10-29 16:53:46.248819,2022-10-29 16:53:46.311315,0 days 00:00:00.062496,121,40.0,990,COMPLETE
169,169,0.7078125,2022-10-29 16:53:46.311752,2022-10-29 16:53:46.384484,0 days 00:00:00.072732,181,50.0,870,COMPLETE
170,170,0.7093750000000001,2022-10-29 16:53:46.384951,2022-10-29 16:53:46.478316,0 days 00:00:00.093365,261,100.0,930,COMPLETE
171,171,0.7234375,2022-10-29 16:53:46.478767,2022-10-29 16:53:46.531258,0 days 00:00:00.052491,81,20.0,850,COMPLETE
172,172,0.7046875,2022-10-29 16:53:46.531699,2022-10-29 16:53:46.578521,0 days 00:00:00.046822,51,20.0,830,COMPLETE
173,173,0.709375,2022-10-29 16:53:46.578947,2022-10-29 16:53:46.636464,0 days 00:00:00.057517,101,20.0,850,COMPLETE
174,174,0.6781250000000001,2022-10-29 16:53:46.636904,2022-10-29 16:53:46.674980,0 days 00:00:00.038076,21,60.0,890,COMPLETE
175,175,0.7046874999999999,2022-10-29 16:53:46.675412,2022-10-29 16:53:46.740360,0 days 00:00:00.064948,141,20.0,910,COMPLETE
176,176,0.71875,2022-10-29 16:53:46.740803,2022-10-29 16:53:46.793259,0 days 00:00:00.052456,71,10.0,950,COMPLETE
177,177,0.7124999999999999,2022-10-29 16:53:46.793709,2022-10-29 16:53:46.873859,0 days 00:00:00.080150,201,20.0,790,COMPLETE
